id,income,income-group,wtp,parking-offender?,distance-parking-target,price-paid,search-time,wants-to-park,die?,reinitialize?,utility-value,mean-utility,informed-flag,agent-strategy-flag,wait-time,park-time,switch-strategy-flag
1007,14507.578155055806,0,2.0391679927357633,false,-99,-99,1,false,true,true,-0.27536207926648554,-0.3676583606247888,2,3,0,8138.781384056648,0
1069,26659.536092557973,1,4.19517880585882,false,-99,-99,1,false,true,true,-0.3892649061826612,-0.3676583606247888,2,3,0,26092.174209079545,0
1011,46445.944266433005,1,3.822368334889941,false,-99,-99,3,false,true,true,-0.14481210270637104,-0.36792511035287795,0,6,0,2867.409683015863,0
1099,29724.141313514596,1,2.8010622191185988,true,-99,-99,6,false,true,true,-0.22993819373395605,-0.36892739410975384,1,1,0,3487.100460399325,0
1115,46087.629367816524,1,3.9510689806300485,false,-99,-99,6,false,true,true,-0.3870931941530284,-0.36892739410975384,0,6,0,16052.755065297071,0
968,32417.602585858396,1,3.527908957219841,false,-99,-99,6,false,true,true,-0.2955350150633772,-0.36892739410975384,0,7,0,7566.132831778548,0
1014,12689.084182235916,0,2.5699088304998927,true,-99,-99,9,false,true,true,-0.3879944849142949,-0.36973708313875076,1,5,0,10918.41284232359,0
1062,28317.87862479529,1,3.5831058980256367,false,-99,-99,9,false,true,true,-0.4389466101462169,-0.36973708313875076,2,1,0,11621.633603830915,0
889,25213.10811743114,1,3.5048841450584027,false,-99,-99,10,false,true,true,-0.08768392014031243,-0.3677095048380625,0,6,0,2979.641815807335,0
928,61857.782458538815,2,8.725863152040215,false,-99,-99,10,false,true,true,-0.06468571672817966,-0.3677095048380625,0,6,0,4628.056517446766,0
1074,17832.458596309425,1,4.389891250854177,true,-99,-99,10,false,true,true,0.003322681167061581,-0.3677095048380625,1,3,0,11573.879417907603,0
1029,50580.362614580125,2,9.278937022905286,true,-99,-99,11,false,true,true,-0.3682428954325353,-0.3713543921526354,1,5,0,3310.24052142743,0
905,14915.289907112638,0,2.452447733374078,false,-99,-99,14,false,true,true,-0.1686890799134243,-0.37059799894029005,2,2,0,3558.8027814381708,0
938,14986.014912920622,0,1.7683779076107746,false,-99,-99,14,false,true,true,-0.41169462057172757,-0.37059799894029005,0,6,0,12536.547002208972,0
1130,29580.842498924198,1,3.344509855559558,false,-99,-99,16,false,true,true,-0.5345624704915891,-0.3713308406575466,1,4,0,1959.1040221299966,0
1021,41790.51866708568,1,3.521832513957905,false,-99,-99,17,false,true,true,-0.6319994592333369,-0.36838382006694853,1,3,0,3314.295402902876,0
913,49982.874629106,2,8.818267282832744,false,-99,-99,19,false,true,true,-0.1042072385793956,-0.3670685581244908,0,6,0,3677.3309338013364,0
