"export-plot data (NetLogo 6.2.2)"
"NetLogo_model.nlogo"
"07/14/2022 09:45:14:297 +0200"

"MODEL SETTINGS"
"hide-nodes","blue-lot-fee","target-start-occupancy","demo-mode","green-lot-fee","document-turtles","show-goals","pop-median-income","teal-lot-fee","yellow-lot-fee","fines-multiplier","controls-per-hour","parking-cars-percentage","ticks-per-cycle","num-garages","lot-distribution-percentage","temporal-resolution","output-turtle-file-path","pop-mean-income","num-cars","min-util","dynamic-pricing-baseline"
"true","5","0.4","false","8","true","false","23557","6","10","5","1","61","87","2","0.5","1800","""300cars_min-0.2.csv""","26105","300","-0.2","true"

"""Strategy Change Measure"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","9190","0","10","true","""One Change""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""One Change""","true","0","1","66","8216"
"""Two Changes""","true","0","1","16","8216"

"""One Change""",,,,"""Two Changes"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","66","true","0","0","16","true"
"1","0","66","true","1","0","16","true"
"2","0","66","true","2","0","16","true"
"3","0","66","true","3","0","16","true"
"4","0","66","true","4","0","16","true"
"5","0","66","true","5","0","16","true"
"6","0","66","true","6","0","16","true"
"7","0","66","true","7","0","16","true"
"8","0","66","true","8","0","16","true"
"9","0","66","true","9","0","16","true"
"10","0","66","true","10","0","16","true"
"11","0","66","true","11","0","16","true"
"12","0","66","true","12","0","16","true"
"13","0","66","true","13","0","16","true"
"14","0","66","true","14","0","16","true"
"15","0","66","true","15","0","16","true"
"16","0","66","true","16","0","16","true"
"17","0","66","true","17","0","16","true"
"18","0","66","true","18","0","16","true"
"19","0","66","true","19","0","16","true"
"20","0","66","true","20","0","16","true"
"21","0","66","true","21","0","16","true"
"22","0","66","true","22","0","16","true"
"23","0","66","true","23","0","16","true"
"24","0","66","true","24","0","16","true"
"25","0","66","true","25","0","16","true"
"26","0","66","true","26","0","16","true"
"27","0","66","true","27","0","16","true"
"28","0","66","true","28","0","16","true"
"29","0","66","true","29","0","16","true"
"30","0","66","true","30","0","16","true"
"31","0","66","true","31","0","16","true"
"32","0","66","true","32","0","16","true"
"33","0","66","true","33","0","16","true"
"34","0","66","true","34","0","16","true"
"35","0","66","true","35","0","16","true"
"36","0","66","true","36","0","16","true"
"37","0","66","true","37","0","16","true"
"38","0","66","true","38","0","16","true"
"39","0","66","true","39","0","16","true"
"40","0","66","true","40","0","16","true"
"41","0","66","true","41","0","16","true"
"42","0","66","true","42","0","16","true"
"43","0","66","true","43","0","16","true"
"44","0","66","true","44","0","16","true"
"45","0","66","true","45","0","16","true"
"46","0","66","true","46","0","16","true"
"47","0","66","true","47","0","16","true"
"48","0","66","true","48","0","16","true"
"49","0","66","true","49","0","16","true"
"50","0","66","true","50","0","16","true"
"51","0","66","true","51","0","16","true"
"52","0","66","true","52","0","16","true"
"53","0","66","true","53","0","16","true"
"54","0","66","true","54","0","16","true"
"55","0","66","true","55","0","16","true"
"56","0","66","true","56","0","16","true"
"57","0","66","true","57","0","16","true"
"58","0","66","true","58","0","16","true"
"59","0","66","true","59","0","16","true"
"60","0","66","true","60","0","16","true"
"61","0","66","true","61","0","16","true"
"62","0","66","true","62","0","16","true"
"63","0","66","true","63","0","16","true"
"64","0","66","true","64","0","16","true"
"65","0","66","true","65","0","16","true"
"66","0","66","true","66","0","16","true"
"67","0","66","true","67","0","16","true"
"68","0","66","true","68","0","16","true"
"69","0","66","true","69","0","16","true"
"70","0","66","true","70","0","16","true"
"71","0","66","true","71","0","16","true"
"72","0","66","true","72","0","16","true"
"73","0","66","true","73","0","16","true"
"74","0","66","true","74","0","16","true"
"75","0","66","true","75","0","16","true"
"76","0","66","true","76","0","16","true"
"77","0","66","true","77","0","16","true"
"78","0","66","true","78","0","16","true"
"79","0","66","true","79","0","16","true"
"80","0","66","true","80","0","16","true"
"81","0","66","true","81","0","16","true"
"82","0","66","true","82","0","16","true"
"83","0","66","true","83","0","16","true"
"84","0","66","true","84","0","16","true"
"85","0","66","true","85","0","16","true"
"86","0","66","true","86","0","16","true"
"87","0","66","true","87","0","16","true"
"88","0","66","true","88","0","16","true"
"89","0","66","true","89","0","16","true"
"90","0","66","true","90","0","16","true"
"91","0","66","true","91","0","16","true"
"92","0","66","true","92","0","16","true"
"93","0","66","true","93","0","16","true"
"94","0","66","true","94","0","16","true"
"95","0","66","true","95","0","16","true"
"96","0","66","true","96","0","16","true"
"97","0","66","true","97","0","16","true"
"98","0","66","true","98","0","16","true"
"99","0","66","true","99","0","16","true"
"100","0","66","true","100","0","16","true"
"101","0","66","true","101","0","16","true"
"102","0","66","true","102","0","16","true"
"103","0","66","true","103","0","16","true"
"104","0","66","true","104","0","16","true"
"105","0","66","true","105","0","16","true"
"106","0","66","true","106","0","16","true"
"107","0","66","true","107","0","16","true"
"108","0","66","true","108","0","16","true"
"109","0","66","true","109","0","16","true"
"110","0","66","true","110","0","16","true"
"111","0","66","true","111","0","16","true"
"112","0","66","true","112","0","16","true"
"113","0","66","true","113","0","16","true"
"114","0","66","true","114","0","16","true"
"115","0","66","true","115","0","16","true"
"116","0","66","true","116","0","16","true"
"117","0","66","true","117","0","16","true"
"118","0","66","true","118","0","16","true"
"119","0","66","true","119","0","16","true"
"120","0","66","true","120","0","16","true"
"121","0","66","true","121","0","16","true"
"122","0","66","true","122","0","16","true"
"123","0","66","true","123","0","16","true"
"124","0","66","true","124","0","16","true"
"125","0","66","true","125","0","16","true"
"126","0","66","true","126","0","16","true"
"127","0","66","true","127","0","16","true"
"128","0","66","true","128","0","16","true"
"129","0","66","true","129","0","16","true"
"130","0","66","true","130","0","16","true"
"131","0","66","true","131","0","16","true"
"132","0","66","true","132","0","16","true"
"133","0","66","true","133","0","16","true"
"134","0","66","true","134","0","16","true"
"135","0","66","true","135","0","16","true"
"136","0","66","true","136","0","16","true"
"137","0","66","true","137","0","16","true"
"138","0","66","true","138","0","16","true"
"139","0","66","true","139","0","16","true"
"140","0","66","true","140","0","16","true"
"141","0","66","true","141","0","16","true"
"142","0","66","true","142","0","16","true"
"143","0","66","true","143","0","16","true"
"144","0","66","true","144","0","16","true"
"145","0","66","true","145","0","16","true"
"146","0","66","true","146","0","16","true"
"147","0","66","true","147","0","16","true"
"148","0","66","true","148","0","16","true"
"149","0","66","true","149","0","16","true"
"150","0","66","true","150","0","16","true"
"151","0","66","true","151","0","16","true"
"152","0","66","true","152","0","16","true"
"153","1","66","true","153","0","16","true"
"154","1","66","true","154","0","16","true"
"155","1","66","true","155","0","16","true"
"156","0","66","true","156","0","16","true"
"157","0","66","true","157","0","16","true"
"158","0","66","true","158","0","16","true"
"159","0","66","true","159","0","16","true"
"160","0","66","true","160","0","16","true"
"161","0","66","true","161","0","16","true"
"162","0","66","true","162","0","16","true"
"163","0","66","true","163","0","16","true"
"164","0","66","true","164","0","16","true"
"165","0","66","true","165","0","16","true"
"166","0","66","true","166","0","16","true"
"167","0","66","true","167","0","16","true"
"168","0","66","true","168","0","16","true"
"169","0","66","true","169","0","16","true"
"170","0","66","true","170","0","16","true"
"171","0","66","true","171","0","16","true"
"172","0","66","true","172","0","16","true"
"173","0","66","true","173","0","16","true"
"174","0","66","true","174","0","16","true"
"175","0","66","true","175","0","16","true"
"176","0","66","true","176","0","16","true"
"177","0","66","true","177","0","16","true"
"178","0","66","true","178","0","16","true"
"179","0","66","true","179","0","16","true"
"180","0","66","true","180","0","16","true"
"181","0","66","true","181","0","16","true"
"182","0","66","true","182","0","16","true"
"183","0","66","true","183","0","16","true"
"184","0","66","true","184","0","16","true"
"185","0","66","true","185","0","16","true"
