"export-plot data (NetLogo 6.2.2)"
"NetLogo_model.nlogo"
"07/14/2022 09:45:11:281 +0200"

"MODEL SETTINGS"
"hide-nodes","blue-lot-fee","target-start-occupancy","demo-mode","green-lot-fee","document-turtles","show-goals","pop-median-income","teal-lot-fee","yellow-lot-fee","fines-multiplier","controls-per-hour","parking-cars-percentage","ticks-per-cycle","num-garages","lot-distribution-percentage","temporal-resolution","output-turtle-file-path","pop-mean-income","num-cars","min-util","dynamic-pricing-baseline"
"true","5","0.4","false","8","true","false","23557","6","10","5","1","61","87","2","0.5","1800","""300cars_min-0.2.csv""","26105","300","-0.2","true"

"""Strategy Count Measure"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10100","0","400","true","""Same Place Parking""","true","7"

"pen name","pen down?","mode","interval","color","x"
"""Same Place Parking""","true","0","1","127","8216"
"""Private Parking""","true","0","1","47","8216"
"""Parking After Reaching""","true","0","1","15","8216"
"""Nearest Goal Parking""","true","0","1","25","8216"
"""Active Search Parking""","true","0","1","35","8216"
"""Uninformed Nearest Parking""","true","0","1","136","8216"
"""Uninformed Search Parking""","true","0","1","55","8216"

"""Same Place Parking""",,,,"""Private Parking""",,,,"""Parking After Reaching""",,,,"""Nearest Goal Parking""",,,,"""Active Search Parking""",,,,"""Uninformed Nearest Parking""",,,,"""Uninformed Search Parking"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","73","127","true","0","29","47","true","0","47","15","true","0","46","25","true","0","20","35","true","0","56","136","true","0","29","55","true"
"1","73","127","true","1","29","47","true","1","47","15","true","1","46","25","true","1","20","35","true","1","56","136","true","1","29","55","true"
"2","73","127","true","2","30","47","true","2","45","15","true","2","46","25","true","2","20","35","true","2","56","136","true","2","30","55","true"
"3","73","127","true","3","30","47","true","3","45","15","true","3","46","25","true","3","20","35","true","3","56","136","true","3","30","55","true"
"4","73","127","true","4","30","47","true","4","45","15","true","4","46","25","true","4","21","35","true","4","55","136","true","4","30","55","true"
"5","73","127","true","5","30","47","true","5","45","15","true","5","46","25","true","5","21","35","true","5","55","136","true","5","30","55","true"
"6","73","127","true","6","30","47","true","6","45","15","true","6","46","25","true","6","21","35","true","6","55","136","true","6","30","55","true"
"7","73","127","true","7","30","47","true","7","46","15","true","7","46","25","true","7","21","35","true","7","54","136","true","7","30","55","true"
"8","73","127","true","8","30","47","true","8","46","15","true","8","46","25","true","8","21","35","true","8","54","136","true","8","30","55","true"
"9","73","127","true","9","30","47","true","9","46","15","true","9","46","25","true","9","21","35","true","9","54","136","true","9","30","55","true"
"10","72","127","true","10","30","47","true","10","46","15","true","10","47","25","true","10","20","35","true","10","55","136","true","10","30","55","true"
"11","73","127","true","11","31","47","true","11","46","15","true","11","47","25","true","11","20","35","true","11","53","136","true","11","30","55","true"
"12","73","127","true","12","31","47","true","12","46","15","true","12","47","25","true","12","19","35","true","12","54","136","true","12","30","55","true"
"13","73","127","true","13","31","47","true","13","46","15","true","13","47","25","true","13","19","35","true","13","54","136","true","13","30","55","true"
"14","73","127","true","14","31","47","true","14","46","15","true","14","47","25","true","14","19","35","true","14","54","136","true","14","30","55","true"
"15","74","127","true","15","30","47","true","15","46","15","true","15","47","25","true","15","19","35","true","15","54","136","true","15","30","55","true"
"16","74","127","true","16","30","47","true","16","46","15","true","16","47","25","true","16","19","35","true","16","54","136","true","16","30","55","true"
"17","74","127","true","17","30","47","true","17","46","15","true","17","46","25","true","17","19","35","true","17","55","136","true","17","30","55","true"
"18","74","127","true","18","30","47","true","18","45","15","true","18","46","25","true","18","19","35","true","18","56","136","true","18","30","55","true"
"19","74","127","true","19","30","47","true","19","45","15","true","19","46","25","true","19","19","35","true","19","56","136","true","19","30","55","true"
"20","74","127","true","20","30","47","true","20","47","15","true","20","46","25","true","20","19","35","true","20","55","136","true","20","29","55","true"
"21","74","127","true","21","30","47","true","21","47","15","true","21","46","25","true","21","19","35","true","21","55","136","true","21","29","55","true"
"22","74","127","true","22","30","47","true","22","47","15","true","22","46","25","true","22","19","35","true","22","55","136","true","22","29","55","true"
"23","74","127","true","23","30","47","true","23","47","15","true","23","46","25","true","23","19","35","true","23","55","136","true","23","29","55","true"
"24","74","127","true","24","30","47","true","24","47","15","true","24","46","25","true","24","19","35","true","24","55","136","true","24","29","55","true"
"25","74","127","true","25","30","47","true","25","47","15","true","25","46","25","true","25","19","35","true","25","55","136","true","25","29","55","true"
"26","74","127","true","26","30","47","true","26","47","15","true","26","46","25","true","26","19","35","true","26","55","136","true","26","29","55","true"
"27","75","127","true","27","30","47","true","27","46","15","true","27","45","25","true","27","19","35","true","27","55","136","true","27","30","55","true"
"28","75","127","true","28","29","47","true","28","46","15","true","28","46","25","true","28","19","35","true","28","55","136","true","28","30","55","true"
"29","75","127","true","29","29","47","true","29","46","15","true","29","46","25","true","29","19","35","true","29","55","136","true","29","30","55","true"
"30","75","127","true","30","29","47","true","30","46","15","true","30","46","25","true","30","19","35","true","30","55","136","true","30","30","55","true"
"31","75","127","true","31","29","47","true","31","46","15","true","31","46","25","true","31","19","35","true","31","55","136","true","31","30","55","true"
"32","75","127","true","32","29","47","true","32","46","15","true","32","46","25","true","32","19","35","true","32","56","136","true","32","29","55","true"
"33","75","127","true","33","29","47","true","33","46","15","true","33","46","25","true","33","19","35","true","33","56","136","true","33","29","55","true"
"34","76","127","true","34","29","47","true","34","46","15","true","34","46","25","true","34","18","35","true","34","56","136","true","34","29","55","true"
"35","76","127","true","35","29","47","true","35","46","15","true","35","46","25","true","35","18","35","true","35","56","136","true","35","29","55","true"
"36","76","127","true","36","29","47","true","36","46","15","true","36","46","25","true","36","18","35","true","36","56","136","true","36","29","55","true"
"37","76","127","true","37","29","47","true","37","46","15","true","37","46","25","true","37","18","35","true","37","56","136","true","37","29","55","true"
"38","76","127","true","38","29","47","true","38","46","15","true","38","46","25","true","38","18","35","true","38","56","136","true","38","29","55","true"
"39","76","127","true","39","28","47","true","39","46","15","true","39","46","25","true","39","18","35","true","39","57","136","true","39","29","55","true"
"40","76","127","true","40","29","47","true","40","46","15","true","40","45","25","true","40","18","35","true","40","57","136","true","40","29","55","true"
"41","76","127","true","41","29","47","true","41","46","15","true","41","45","25","true","41","18","35","true","41","57","136","true","41","29","55","true"
"42","76","127","true","42","29","47","true","42","46","15","true","42","45","25","true","42","18","35","true","42","57","136","true","42","29","55","true"
"43","76","127","true","43","29","47","true","43","45","15","true","43","46","25","true","43","18","35","true","43","57","136","true","43","29","55","true"
"44","77","127","true","44","29","47","true","44","45","15","true","44","46","25","true","44","18","35","true","44","56","136","true","44","29","55","true"
"45","77","127","true","45","29","47","true","45","45","15","true","45","46","25","true","45","18","35","true","45","56","136","true","45","29","55","true"
"46","76","127","true","46","29","47","true","46","45","15","true","46","46","25","true","46","18","35","true","46","57","136","true","46","29","55","true"
"47","76","127","true","47","29","47","true","47","45","15","true","47","46","25","true","47","18","35","true","47","57","136","true","47","29","55","true"
