"export-plot data (NetLogo 6.2.2)"
"NetLogo_model.nlogo"
"07/13/2022 20:47:11:810 +0200"

"MODEL SETTINGS"
"hide-nodes","blue-lot-fee","target-start-occupancy","demo-mode","green-lot-fee","document-turtles","show-goals","pop-median-income","teal-lot-fee","yellow-lot-fee","fines-multiplier","controls-per-hour","parking-cars-percentage","ticks-per-cycle","num-garages","lot-distribution-percentage","temporal-resolution","output-turtle-file-path","pop-mean-income","num-cars","min-util","dynamic-pricing-baseline"
"true","5","0.4","false","8","true","false","23557","6","10","5","1","61","87","2","0.5","1800","""600cars.csv""","26105","600","-0.4","true"

"""Strategy Count Measure"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10100","0","400","true","""Same Place Parking""","true","7"

"pen name","pen down?","mode","interval","color","x"
"""Same Place Parking""","true","0","1","127","8214"
"""Private Parking""","true","0","1","47","8214"
"""Parking After Reaching""","true","0","1","15","8214"
"""Nearest Goal Parking""","true","0","1","25","8214"
"""Active Search Parking""","true","0","1","35","8214"
"""Uninformed Nearest Parking""","true","0","1","136","8214"
"""Uninformed Search Parking""","true","0","1","55","8214"

"""Same Place Parking""",,,,"""Private Parking""",,,,"""Parking After Reaching""",,,,"""Nearest Goal Parking""",,,,"""Active Search Parking""",,,,"""Uninformed Nearest Parking""",,,,"""Uninformed Search Parking"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","145","127","true","0","54","47","true","0","78","15","true","0","97","25","true","0","43","35","true","0","130","136","true","0","53","55","true"
"1","145","127","true","1","54","47","true","1","78","15","true","1","97","25","true","1","43","35","true","1","130","136","true","1","53","55","true"
"2","145","127","true","2","55","47","true","2","77","15","true","2","96","25","true","2","43","35","true","2","132","136","true","2","52","55","true"
"3","145","127","true","3","55","47","true","3","77","15","true","3","96","25","true","3","43","35","true","3","132","136","true","3","52","55","true"
"4","144","127","true","4","55","47","true","4","77","15","true","4","97","25","true","4","43","35","true","4","132","136","true","4","52","55","true"
"5","144","127","true","5","55","47","true","5","76","15","true","5","97","25","true","5","43","35","true","5","133","136","true","5","52","55","true"
"6","144","127","true","6","55","47","true","6","76","15","true","6","97","25","true","6","43","35","true","6","133","136","true","6","52","55","true"
"7","143","127","true","7","55","47","true","7","76","15","true","7","97","25","true","7","43","35","true","7","134","136","true","7","52","55","true"
"8","142","127","true","8","55","47","true","8","76","15","true","8","97","25","true","8","43","35","true","8","135","136","true","8","52","55","true"
"9","142","127","true","9","55","47","true","9","75","15","true","9","97","25","true","9","43","35","true","9","135","136","true","9","53","55","true"
"10","142","127","true","10","56","47","true","10","75","15","true","10","97","25","true","10","42","35","true","10","135","136","true","10","53","55","true"
"11","142","127","true","11","56","47","true","11","74","15","true","11","98","25","true","11","42","35","true","11","135","136","true","11","53","55","true"
"12","142","127","true","12","56","47","true","12","74","15","true","12","98","25","true","12","42","35","true","12","135","136","true","12","53","55","true"
"13","142","127","true","13","57","47","true","13","74","15","true","13","97","25","true","13","42","35","true","13","135","136","true","13","53","55","true"
"14","142","127","true","14","57","47","true","14","75","15","true","14","97","25","true","14","41","35","true","14","135","136","true","14","53","55","true"
"15","141","127","true","15","57","47","true","15","76","15","true","15","95","25","true","15","41","35","true","15","137","136","true","15","53","55","true"
"16","142","127","true","16","57","47","true","16","77","15","true","16","94","25","true","16","41","35","true","16","136","136","true","16","53","55","true"
"17","142","127","true","17","58","47","true","17","77","15","true","17","94","25","true","17","41","35","true","17","135","136","true","17","53","55","true"
"18","143","127","true","18","58","47","true","18","77","15","true","18","94","25","true","18","41","35","true","18","134","136","true","18","53","55","true"
"19","143","127","true","19","58","47","true","19","77","15","true","19","94","25","true","19","41","35","true","19","133","136","true","19","54","55","true"
"20","143","127","true","20","58","47","true","20","77","15","true","20","94","25","true","20","41","35","true","20","133","136","true","20","54","55","true"
"21","143","127","true","21","58","47","true","21","77","15","true","21","94","25","true","21","41","35","true","21","133","136","true","21","54","55","true"
"22","143","127","true","22","59","47","true","22","77","15","true","22","94","25","true","22","41","35","true","22","132","136","true","22","54","55","true"
"23","144","127","true","23","59","47","true","23","77","15","true","23","94","25","true","23","41","35","true","23","131","136","true","23","54","55","true"
"24","144","127","true","24","59","47","true","24","77","15","true","24","94","25","true","24","41","35","true","24","132","136","true","24","53","55","true"
"25","144","127","true","25","59","47","true","25","77","15","true","25","94","25","true","25","41","35","true","25","132","136","true","25","53","55","true"
"26","144","127","true","26","59","47","true","26","77","15","true","26","94","25","true","26","41","35","true","26","132","136","true","26","53","55","true"
"27","144","127","true","27","59","47","true","27","77","15","true","27","94","25","true","27","41","35","true","27","132","136","true","27","53","55","true"
"28","143","127","true","28","59","47","true","28","77","15","true","28","94","25","true","28","41","35","true","28","133","136","true","28","53","55","true"
"29","143","127","true","29","59","47","true","29","77","15","true","29","94","25","true","29","41","35","true","29","133","136","true","29","53","55","true"
"30","142","127","true","30","59","47","true","30","77","15","true","30","95","25","true","30","41","35","true","30","133","136","true","30","53","55","true"
"31","142","127","true","31","59","47","true","31","77","15","true","31","95","25","true","31","41","35","true","31","133","136","true","31","53","55","true"
"32","142","127","true","32","59","47","true","32","77","15","true","32","95","25","true","32","41","35","true","32","133","136","true","32","53","55","true"
"33","142","127","true","33","59","47","true","33","76","15","true","33","95","25","true","33","41","35","true","33","134","136","true","33","53","55","true"
"34","142","127","true","34","59","47","true","34","76","15","true","34","95","25","true","34","41","35","true","34","134","136","true","34","53","55","true"
"35","142","127","true","35","60","47","true","35","76","15","true","35","95","25","true","35","41","35","true","35","133","136","true","35","53","55","true"
"36","142","127","true","36","60","47","true","36","76","15","true","36","94","25","true","36","41","35","true","36","133","136","true","36","54","55","true"
"37","142","127","true","37","60","47","true","37","76","15","true","37","95","25","true","37","40","35","true","37","133","136","true","37","54","55","true"
"38","142","127","true","38","60","47","true","38","76","15","true","38","95","25","true","38","40","35","true","38","133","136","true","38","54","55","true"
"39","143","127","true","39","60","47","true","39","75","15","true","39","95","25","true","39","40","35","true","39","133","136","true","39","54","55","true"
"40","143","127","true","40","60","47","true","40","75","15","true","40","95","25","true","40","40","35","true","40","133","136","true","40","54","55","true"
"41","143","127","true","41","60","47","true","41","75","15","true","41","95","25","true","41","40","35","true","41","133","136","true","41","54","55","true"
"42","143","127","true","42","60","47","true","42","75","15","true","42","95","25","true","42","40","35","true","42","133","136","true","42","54","55","true"
"43","143","127","true","43","60","47","true","43","75","15","true","43","95","25","true","43","40","35","true","43","133","136","true","43","54","55","true"
"44","143","127","true","44","60","47","true","44","75","15","true","44","95","25","true","44","40","35","true","44","133","136","true","44","54","55","true"
"45","143","127","true","45","60","47","true","45","75","15","true","45","95","25","true","45","40","35","true","45","133","136","true","45","54","55","true"
"46","143","127","true","46","60","47","true","46","75","15","true","46","95","25","true","46","40","35","true","46","133","136","true","46","54","55","true"
"47","143","127","true","47","60","47","true","47","75","15","true","47","95","25","true","47","40","35","true","47","133","136","true","47","54","55","true"
"48","144","127","true","48","60","47","true","48","75","15","true","48","95","25","true","48","39","35","true","48","133","136","true","48","54","55","true"
"49","144","127","true","49","60","47","true","49","75","15","true","49","95","25","true","49","39","35","true","49","133","136","true","49","54","55","true"
"50","144","127","true","50","60","47","true","50","75","15","true","50","95","25","true","50","39","35","true","50","133","136","true","50","54","55","true"
"51","144","127","true","51","60","47","true","51","75","15","true","51","95","25","true","51","39","35","true","51","133","136","true","51","54","55","true"
"52","144","127","true","52","60","47","true","52","75","15","true","52","95","25","true","52","39","35","true","52","133","136","true","52","54","55","true"
"53","144","127","true","53","60","47","true","53","75","15","true","53","95","25","true","53","39","35","true","53","133","136","true","53","54","55","true"
"54","144","127","true","54","60","47","true","54","75","15","true","54","95","25","true","54","39","35","true","54","133","136","true","54","54","55","true"
"55","144","127","true","55","60","47","true","55","75","15","true","55","95","25","true","55","39","35","true","55","133","136","true","55","54","55","true"
